"REPORTE DE VENTAS POR CLIENTE DETALLADO","","","","","","","","","","","","",""
"Caja","Cliente","Nombre","Doc.","Factura","TOTAL1","F.Emision","Usuhora","Clave","Descripción","Cantidad","Prec.","Importe","Total"
"ESTACION01","TIILD","ILDA","REM","1271","2002.898","12/3/2020","11:16:02","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION01","MARSOC","MARIA DEL SOCORRO","REM","1319","412.8","12/10/2020","11:12:45","ACNUT1","Aceite Nutrioli 850ml","6","25.8","154.8","6"
"ESTACION01","MISES","ESPERANZA","REM","1325","5263.5968","12/10/2020","11:34:24","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","33554","107.2","12/1/2020","08:01:53","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","33649","47.5","12/1/2020","12:21:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","33662","242.9","12/1/2020","13:07:38","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","PALOPBA","Pablo Lopez Barrios","REM","34396","13177.014156","12/4/2020","12:16:46","ACNUT1","Aceite Nutrioli 850ml","12","25.33333","303.99996","12"
"ESTACION01","SYS","Cliente de mostrador","REM","34537","472.2","12/5/2020","08:28:18","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","34608","46.4","12/5/2020","11:28:31","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","34983","776.66","12/8/2020","07:22:59","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","35001","9346.1568","12/8/2020","08:30:03","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","35231","341.3","12/9/2020","10:07:10","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","35241","132.1","12/9/2020","10:37:09","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","35341","82.5","12/9/2020","15:27:34","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION01","SYS","Cliente de mostrador","REM","35484","4776.62","12/10/2020","10:58:08","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","35525","487.3","12/10/2020","12:41:57","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION01","SYS","Cliente de mostrador","REM","35655","1258.52","12/11/2020","07:46:28","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","36157","340.3","12/12/2020","18:34:38","ACNUT1","Aceite Nutrioli 850ml","1","26","26","1"
"ESTACION01","SYS","Cliente de mostrador","REM","36512","27.5","12/15/2020","12:37:55","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","36759","27.5","12/16/2020","14:23:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","36810","138.1","12/16/2020","17:40:15","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","36838","309.96","12/17/2020","07:12:49","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","37135","46.5","12/18/2020","09:42:59","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","37139","203.3","12/18/2020","09:48:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","37625","2855.86","12/21/2020","07:47:30","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","37754","157.7","12/21/2020","12:41:43","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","38051","446","12/22/2020","12:17:40","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION01","ISGOD","Isidro Godinez Gomez","REM","38172","7844.32","12/22/2020","15:30:30","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","38209","227.1","12/22/2020","17:07:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","38214","157.14","12/22/2020","17:14:45","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","38297","8704.115","12/23/2020","09:39:11","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","38308","481.3","12/23/2020","09:58:41","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION01","SYS","Cliente de mostrador","REM","38837","45.5","12/24/2020","14:26:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","38884","45.4","12/24/2020","15:46:58","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","39146","281.9","12/26/2020","16:16:06","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","39249","315.9","12/28/2020","10:08:03","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","39277","101.9","12/28/2020","11:25:48","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","39690","27.5","12/29/2020","16:57:01","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","39700","27.5","12/29/2020","17:25:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","ISGOD","Isidro Godinez Gomez","REM","39862","8165.82","12/30/2020","11:44:10","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40089","309.96","12/31/2020","07:24:15","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40422","27.5","12/31/2020","18:15:42","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40515","73.4","1/2/2021","11:00:44","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40557","603.96","1/2/2021","13:46:02","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40635","702.46","1/2/2021","18:04:50","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40767","116.2","1/4/2021","12:41:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40822","2739.5","1/4/2021","14:36:43","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40848","929.96","1/4/2021","15:30:05","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40916","638.5","1/5/2021","07:18:33","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","41081","46.5","1/5/2021","15:04:50","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41109","174.7","1/5/2021","17:00:32","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41557","57.5","1/7/2021","14:23:51","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41857","27.5","1/8/2021","18:41:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41866","926.5","1/9/2021","07:12:41","ACNUT1","Aceite Nutrioli 850ml","6","26","156","6"
"ESTACION02","000323","MIGUEL","REM","1337","3824.12","12/10/2020","12:12:56","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION02","TIARB","ARBOLITOS","REM","1370","596.5","12/15/2020","11:41:29","ACNUT1","Aceite Nutrioli 850ml","6","26","156","6"
"ESTACION05","SYS","Cliente de mostrador","REM","48887","47.5","12/1/2020","11:33:40","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","48921","286.5","12/1/2020","12:48:16","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","48999","329.2","12/1/2020","15:50:36","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","49017","84.4","12/1/2020","16:21:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49025","248.1","12/1/2020","16:45:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49145","137.3","12/2/2020","10:22:31","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49173","6384.08","12/2/2020","11:32:55","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","49228","465.5","12/2/2020","13:47:13","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49241","27.5","12/2/2020","14:16:49","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49269","27.5","12/2/2020","15:34:36","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49476","55","12/3/2020","11:24:47","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49616","71.5","12/3/2020","16:12:01","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49901","27.5","12/4/2020","13:54:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49937","141.45","12/4/2020","15:15:31","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49969","2792.64","12/4/2020","16:24:30","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","50029","2492.7","12/5/2020","06:24:37","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","50179","133.5","12/5/2020","10:38:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50180","173.9","12/5/2020","10:39:51","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","50272","145.2","12/5/2020","12:58:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50283","154.4","12/5/2020","13:34:02","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","50549","112.4","12/7/2020","11:17:44","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","50725","165.5","12/7/2020","16:14:34","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50744","2348.22","12/7/2020","17:01:51","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","50811","417.86","12/8/2020","08:06:10","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","50880","79.4","12/8/2020","10:49:09","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50919","182.5","12/8/2020","11:46:03","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","50935","701.5","12/8/2020","12:12:59","ACNUT1","Aceite Nutrioli 850ml","4","27.5","110","4"
"ESTACION05","SYS","Cliente de mostrador","REM","51044","459.12","12/8/2020","16:01:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51048","140.5","12/8/2020","16:08:20","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","51209","285.4","12/9/2020","11:29:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51239","88.3","12/9/2020","12:22:34","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51356","40","12/9/2020","17:04:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51381","544.7","12/9/2020","18:12:30","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51494","207.5","12/10/2020","10:33:06","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51645","149","12/10/2020","14:52:34","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","51686","587.84","12/10/2020","16:39:19","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","51810","27.5","12/11/2020","08:57:29","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51863","27.5","12/11/2020","11:03:37","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52004","754.46","12/11/2020","14:46:57","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52196","100.4","12/12/2020","08:47:58","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52263","175.2","12/12/2020","10:33:33","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52299","483.9","12/12/2020","11:28:19","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","52321","27.5","12/12/2020","12:07:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52361","46.5","12/12/2020","13:21:40","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52387","143.1","12/12/2020","14:04:15","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52436","147.8","12/12/2020","15:57:19","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52475","39.5","12/12/2020","18:01:25","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
