"REPORTE DE VENTAS POR CLIENTE DETALLADO","","","","","","","","","","","","",""
"ESTACION05","SYS","Cliente de mostrador","REM","52479","159.4","12/12/2020","18:07:04","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52487","46.5","12/12/2020","18:29:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52575","139.9","12/14/2020","09:24:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52584","252.2","12/14/2020","09:38:47","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52617","481.6","12/14/2020","10:43:01","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52650","512.6","12/14/2020","11:40:30","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52674","383","12/14/2020","12:31:15","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52700","635.4","12/14/2020","13:23:12","ACNUT1","Aceite Nutrioli 850ml","4","27.5","110","4"
"ESTACION05","SYS","Cliente de mostrador","REM","52724","443.65","12/14/2020","14:26:38","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52779","143.9","12/14/2020","16:22:49","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52837","532.3","12/14/2020","18:35:06","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","53064","118.3","12/15/2020","12:42:51","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53077","181.4","12/15/2020","12:58:00","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53093","27.5","12/15/2020","13:26:06","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53118","70.5","12/15/2020","14:21:44","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53168","79.4","12/15/2020","16:13:18","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53362","247.3","12/16/2020","11:47:19","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53414","258.7","12/16/2020","13:47:58","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53467","133.4","12/16/2020","16:11:04","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53735","248","12/17/2020","13:54:12","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53819","53.5","12/17/2020","17:07:26","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","53820","141.9","12/17/2020","17:09:03","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54000","27.5","12/18/2020","10:47:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54359","36.4","12/19/2020","09:40:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54410","27.5","12/19/2020","11:03:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54427","535.3","12/19/2020","11:36:13","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54464","401.5","12/19/2020","12:26:59","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","54550","155.7","12/19/2020","14:48:40","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54555","2686.82","12/19/2020","14:57:56","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","54692","46.5","12/21/2020","06:31:35","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54693","1208.656","12/21/2020","06:35:46","ACNUT1","Aceite Nutrioli 850ml","2","27","54","2"
"ESTACION05","SYS","Cliente de mostrador","REM","54702","113.4","12/21/2020","06:53:50","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54836","140.8","12/21/2020","10:34:49","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54844","208.9","12/21/2020","10:50:59","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54853","291.1","12/21/2020","11:06:32","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","54951","62.5","12/21/2020","13:18:03","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55055","55","12/21/2020","16:36:06","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","55107","27.5","12/21/2020","18:29:15","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55278","588.08","12/22/2020","10:36:48","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","55304","211.6","12/22/2020","11:24:08","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55578","124.5","12/22/2020","18:07:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55627","48.5","12/23/2020","07:52:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55694","77","12/23/2020","09:37:02","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55751","118.4","12/23/2020","10:41:01","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55789","51.5","12/23/2020","11:32:25","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","55857","569.94","12/23/2020","12:52:04","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","55867","1367","12/23/2020","13:04:14","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","56149","458.3","12/23/2020","18:47:36","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","IRFLO","Irma Flores","REM","56176","3462.54","12/24/2020","06:12:28","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","56196","946.94","12/24/2020","06:43:14","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","56329","229.9","12/24/2020","09:57:00","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","56392","639.84","12/24/2020","11:04:23","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","56411","153.38","12/24/2020","11:27:04","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","56706","100.9","12/24/2020","17:13:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","56757","378","12/26/2020","06:19:10","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","56833","210.1","12/26/2020","08:45:30","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","56842","85","12/26/2020","08:53:34","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","56969","151.3","12/26/2020","12:26:59","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","57032","38","12/26/2020","14:12:24","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","57160","156.96","12/28/2020","07:06:21","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","57177","48.25","12/28/2020","07:49:02","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","57269","372.3","12/28/2020","10:36:20","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","57281","113.7","12/28/2020","10:55:44","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","57527","77.4","12/28/2020","18:00:18","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","57661","50","12/29/2020","10:08:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","57719","331.9","12/29/2020","11:42:28","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","57829","521.82","12/29/2020","14:10:37","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","58027","103.47","12/30/2020","08:41:26","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58107","27.5","12/30/2020","10:15:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58121","458.7","12/30/2020","10:33:43","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58238","1024.86","12/30/2020","12:33:48","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","58251","117.4","12/30/2020","12:45:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58317","1342.98","12/30/2020","13:52:09","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","58394","27.5","12/30/2020","15:22:49","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58524","308.8","12/30/2020","18:31:14","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58528","56","12/30/2020","18:34:51","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58678","27.5","12/31/2020","09:32:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58783","332.14","12/31/2020","11:18:07","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","58859","27.5","12/31/2020","12:25:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58884","27.5","12/31/2020","12:49:37","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59112","458.3","12/31/2020","17:13:19","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","59151","126.5","12/31/2020","18:00:57","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59301","3819.86","1/2/2021","09:39:42","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","59453","27.5","1/2/2021","14:24:30","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59523","50.5","1/2/2021","16:43:19","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59596","3840.58","1/4/2021","06:52:07","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","59688","179.7","1/4/2021","09:33:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59757","97.3","1/4/2021","11:15:53","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59806","123.9","1/4/2021","12:14:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59890","120.5","1/4/2021","14:22:33","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60110","67.9","1/5/2021","09:41:49","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","60137","93.4","1/5/2021","10:31:52","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60307","111.5","1/5/2021","15:38:25","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60319","84","1/5/2021","16:19:41","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60359","106.3","1/5/2021","18:20:09","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60364","163.3","1/5/2021","18:39:36","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60679","27.5","1/6/2021","18:30:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60688","3062.556","1/7/2021","06:24:51","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","60790","526.7","1/7/2021","10:37:59","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","61132","3749.66","1/8/2021","10:26:15","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","61421","253.3","1/9/2021","08:22:09","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","61585","132.8","1/9/2021","12:52:16","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61707","140.4","1/9/2021","15:43:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61728","601","1/9/2021","16:18:34","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","61754","27.5","1/9/2021","17:23:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61762","83.4","1/9/2021","17:51:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
